id;date;description;amount
1;2020-07-19T16:05:09;Mississippi New Mexico Towels;97552
2;2020-07-19T18:43:39;Plastic Developer actuating;40055
3;2020-07-19T02:36:49;Persevering;36513
4;2020-07-19T17:50:20;hard drive olive Sausages;7818
5;2020-07-18T23:44:13;generate Portugal;92824
6;2020-07-19T08:17:30;Rustic architect;86710
7;2020-07-19T18:14:19;Home Loan Account;62373
8;2020-07-19T02:36:25;Iowa Rhode Island;37746
9;2020-07-19T04:01:37;Tokelau Rhode Island;33898
10;2020-07-19T19:37:24;Ergonomic Triple-buffered infrastructures;72605
